valid_time,avg_tdswrf,number,expver
1990-11-01 06:00:00,311.62885,0,0001
1990-12-01 06:00:00,326.1277,0,0001
1991-01-01 06:00:00,320.4625,0,0001
1991-02-01 06:00:00,299.7762,0,0001
1991-03-01 06:00:00,280.74152,0,0001
1991-04-01 06:00:00,284.94492,0,0001
1991-05-01 06:00:00,299.16843,0,0001
1991-06-01 06:00:00,306.41083,0,0001
1991-07-01 06:00:00,301.4594,0,0001
1991-08-01 06:00:00,287.03818,0,0001
1991-09-01 06:00:00,275.2526,0,0001
1991-10-01 06:00:00,287.04074,0,0001
1991-11-01 06:00:00,311.42572,0,0001
1991-12-01 06:00:00,326.05972,0,0001
1992-01-01 06:00:00,320.55237,0,0001
1992-02-01 06:00:00,299.5392,0,0001
1992-03-01 06:00:00,280.488,0,0001
1992-04-01 06:00:00,285.25757,0,0001
1992-05-01 06:00:00,299.4424,0,0001
1992-06-01 06:00:00,306.4077,0,0001
1992-07-01 06:00:00,301.1594,0,0001
1992-08-01 06:00:00,286.61264,0,0001
1992-09-01 06:00:00,275.16214,0,0001
1992-10-01 06:00:00,287.57962,0,0001
1992-11-01 06:00:00,311.9414,0,0001
1992-12-01 06:00:00,326.15,0,0001
1993-01-01 06:00:00,320.1018,0,0001
1993-02-01 06:00:00,299.27228,0,0001
1993-03-01 06:00:00,280.50427,0,0001
1993-04-01 06:00:00,285.09366,0,0001
1993-05-01 06:00:00,299.28806,0,0001
1993-06-01 06:00:00,306.33893,0,0001
1993-07-01 06:00:00,301.18472,0,0001
1993-08-01 06:00:00,286.6792,0,0001
1993-09-01 06:00:00,275.122,0,0001
1993-10-01 06:00:00,287.33646,0,0001
1993-11-01 06:00:00,311.70166,0,0001
1993-12-01 06:00:00,326.0453,0,0001
1994-01-01 06:00:00,320.17325,0,0001
1994-02-01 06:00:00,299.4188,0,0001
1994-03-01 06:00:00,280.53113,0,0001
1994-04-01 06:00:00,284.93903,0,0001
1994-05-01 06:00:00,299.1424,0,0001
1994-06-01 06:00:00,306.27896,0,0001
1994-07-01 06:00:00,301.2187,0,0001
1994-08-01 06:00:00,286.7546,0,0001
1994-09-01 06:00:00,275.09207,0,0001
1994-10-01 06:00:00,287.10287,0,0001
1994-11-01 06:00:00,311.47104,0,0001
1994-12-01 06:00:00,325.94907,0,0001
1995-01-01 06:00:00,320.27475,0,0001
1995-02-01 06:00:00,299.59482,0,0001
1995-03-01 06:00:00,280.58722,0,0001
1995-04-01 06:00:00,284.81277,0,0001
1995-05-01 06:00:00,299.02557,0,0001
1995-06-01 06:00:00,306.24814,0,0001
1995-07-01 06:00:00,301.2814,0,0001
1995-08-01 06:00:00,286.85825,0,0001
1995-09-01 06:00:00,275.09094,0,0001
1995-10-01 06:00:00,286.89822,0,0001
1995-11-01 06:00:00,311.2703,0,0001
1995-12-01 06:00:00,325.8836,0,0001
1996-01-01 06:00:00,320.37766,0,0001
1996-02-01 06:00:00,299.37033,0,0001
1996-03-01 06:00:00,280.34628,0,0001
1996-04-01 06:00:00,285.13696,0,0001
1996-05-01 06:00:00,299.31137,0,0001
1996-06-01 06:00:00,306.25702,0,0001
1996-07-01 06:00:00,300.9934,0,0001
1996-08-01 06:00:00,286.44458,0,0001
1996-09-01 06:00:00,275.01248,0,0001
1996-10-01 06:00:00,287.4489,0,0001
1996-11-01 06:00:00,311.79825,0,0001
1996-12-01 06:00:00,325.98682,0,0001
1997-01-01 06:00:00,320.0204,0,0001
1997-02-01 06:00:00,299.19116,0,0001
1997-03-01 06:00:00,280.4445,0,0001
1997-04-01 06:00:00,285.0566,0,0001
1997-05-01 06:00:00,299.2451,0,0001
1997-06-01 06:00:00,306.2785,0,0001
1997-07-01 06:00:00,301.10718,0,0001
1997-08-01 06:00:00,286.5953,0,0001
1997-09-01 06:00:00,275.0529,0,0001
1997-10-01 06:00:00,287.29016,0,0001
1997-11-01 06:00:00,311.65033,0,0001
1997-12-01 06:00:00,325.97803,0,0001
1998-01-01 06:00:00,320.23062,0,0001
1998-02-01 06:00:00,299.46774,0,0001
1998-03-01 06:00:00,280.59305,0,0001
1998-04-01 06:00:00,285.0259,0,0001
1998-05-01 06:00:00,299.22952,0,0001
1998-06-01 06:00:00,306.35178,0,0001
1998-07-01 06:00:00,301.27222,0,0001
1998-08-01 06:00:00,286.79538,0,0001
1998-09-01 06:00:00,275.14224,0,0001
1998-10-01 06:00:00,287.18127,0,0001
1998-11-01 06:00:00,311.55515,0,0001
1998-12-01 06:00:00,326.02377,0,0001
1999-01-01 06:00:00,320.42188,0,0001
1999-02-01 06:00:00,299.72736,0,0001
1999-03-01 06:00:00,280.7272,0,0001
1999-04-01 06:00:00,284.9789,0,0001
1999-05-01 06:00:00,299.19608,0,0001
1999-06-01 06:00:00,306.40652,0,0001
1999-07-01 06:00:00,301.4192,0,0001
1999-08-01 06:00:00,286.979,0,0001
1999-09-01 06:00:00,275.21762,0,0001
1999-10-01 06:00:00,287.05634,0,0001
1999-11-01 06:00:00,311.4412,0,0001
1999-12-01 06:00:00,326.049,0,0001
2000-01-01 06:00:00,320.61563,0,0001
2000-02-01 06:00:00,299.58743,0,0001
2000-03-01 06:00:00,280.56613,0,0001
2000-04-01 06:00:00,285.38403,0,0001
2000-05-01 06:00:00,299.56644,0,0001
2000-06-01 06:00:00,306.50162,0,0001
2000-07-01 06:00:00,301.21588,0,0001
2000-08-01 06:00:00,286.64606,0,0001
2000-09-01 06:00:00,275.21765,0,0001
2000-10-01 06:00:00,287.68887,0,0001
2000-11-01 06:00:00,312.05734,0,0001
2000-12-01 06:00:00,326.24417,0,0001
2001-01-01 06:00:00,320.20987,0,0001
2001-02-01 06:00:00,299.3624,0,0001
2001-03-01 06:00:00,280.62134,0,0001
2001-04-01 06:00:00,285.26004,0,0001
2001-05-01 06:00:00,299.45425,0,0001
2001-06-01 06:00:00,306.47623,0,0001
2001-07-01 06:00:00,301.2837,0,0001
2001-08-01 06:00:00,286.75293,0,0001
2001-09-01 06:00:00,275.21564,0,0001
2001-10-01 06:00:00,287.48584,0,0001
2001-11-01 06:00:00,311.8616,0,0001
2001-12-01 06:00:00,326.1856,0,0001
2002-01-01 06:00:00,320.3538,0,0001
2002-02-01 06:00:00,299.57693,0,0001
2002-03-01 06:00:00,280.71124,0,0001
2002-04-01 06:00:00,285.1699,0,0001
2002-05-01 06:00:00,299.37662,0,0001
2002-06-01 06:00:00,306.486,0,0001
2002-07-01 06:00:00,301.38614,0,0001
2002-08-01 06:00:00,286.89368,0,0001
2002-09-01 06:00:00,275.24765,0,0001
2002-10-01 06:00:00,287.31723,0,0001
2002-11-01 06:00:00,311.70166,0,0001
2002-12-01 06:00:00,326.16364,0,0001
2003-01-01 06:00:00,320.37396,0,0001
2003-02-01 06:00:00,299.67538,0,0001
2003-03-01 06:00:00,280.6944,0,0001
2003-04-01 06:00:00,284.9698,0,0001
2003-05-01 06:00:00,299.18265,0,0001
2003-06-01 06:00:00,306.37646,0,0001
