valid_time,vit,number,expver
1990-06-01,2454362.0,0,0001
1990-07-01,2458603.0,0,0001
1990-08-01,2451668.5,0,0001
1990-09-01,2441009.2,0,0001
1990-10-01,2431859.5,0,0001
1990-11-01,2432259.2,0,0001
1990-12-01,2434394.2,0,0001
1991-01-01,2436199.5,0,0001
1991-02-01,2441455.8,0,0001
1991-03-01,2438918.5,0,0001
1991-04-01,2440218.5,0,0001
1991-05-01,2448206.8,0,0001
1991-06-01,2457455.2,0,0001
1991-07-01,2459653.5,0,0001
1991-08-01,2452930.8,0,0001
1991-09-01,2446650.0,0,0001
1991-10-01,2434823.5,0,0001
1991-11-01,2433563.0,0,0001
1991-12-01,2436569.2,0,0001
1992-01-01,2437117.2,0,0001
1992-02-01,2438098.8,0,0001
1992-03-01,2437712.0,0,0001
1992-04-01,2441692.8,0,0001
1992-05-01,2445716.0,0,0001
1992-06-01,2454618.5,0,0001
1992-07-01,2452549.0,0,0001
1992-08-01,2446245.5,0,0001
1992-09-01,2439487.8,0,0001
1992-10-01,2433927.2,0,0001
1992-11-01,2430724.0,0,0001
1992-12-01,2430936.2,0,0001
1993-01-01,2430683.0,0,0001
1993-02-01,2433209.5,0,0001
1993-03-01,2430292.0,0,0001
1993-04-01,2437158.2,0,0001
1993-05-01,2445277.5,0,0001
1993-06-01,2450960.2,0,0001
1993-07-01,2452900.8,0,0001
1993-08-01,2448367.5,0,0001
1993-09-01,2437186.8,0,0001
1993-10-01,2430332.8,0,0001
1993-11-01,2428525.8,0,0001
1993-12-01,2434183.2,0,0001
1994-01-01,2438132.2,0,0001
1994-02-01,2433217.5,0,0001
1994-03-01,2430001.5,0,0001
1994-04-01,2441121.8,0,0001
1994-05-01,2444130.0,0,0001
1994-06-01,2454713.2,0,0001
1994-07-01,2454296.2,0,0001
1994-08-01,2445185.0,0,0001
1994-09-01,2439785.5,0,0001
1994-10-01,2429758.0,0,0001
1994-11-01,2431479.0,0,0001
1994-12-01,2431923.5,0,0001
1995-01-01,2435609.0,0,0001
1995-02-01,2435451.8,0,0001
1995-03-01,2433514.5,0,0001
1995-04-01,2443303.8,0,0001
1995-05-01,2444645.8,0,0001
1995-06-01,2452532.8,0,0001
1995-07-01,2458372.0,0,0001
1995-08-01,2450949.2,0,0001
1995-09-01,2441147.8,0,0001
1995-10-01,2432161.5,0,0001
1995-11-01,2431947.0,0,0001
1995-12-01,2429608.5,0,0001
1996-01-01,2433348.0,0,0001
1996-02-01,2433558.0,0,0001
1996-03-01,2435699.5,0,0001
1996-04-01,2442457.0,0,0001
1996-05-01,2441944.5,0,0001
1996-06-01,2449204.5,0,0001
1996-07-01,2451419.5,0,0001
1996-08-01,2452511.5,0,0001
1996-09-01,2444987.2,0,0001
1996-10-01,2431140.2,0,0001
1996-11-01,2435071.8,0,0001
1996-12-01,2437373.2,0,0001
1997-01-01,2432924.0,0,0001
1997-02-01,2431365.0,0,0001
1997-03-01,2432181.5,0,0001
1997-04-01,2433563.5,0,0001
1997-05-01,2444832.5,0,0001
1997-06-01,2453786.2,0,0001
1997-07-01,2452449.0,0,0001
1997-08-01,2447828.5,0,0001
1997-09-01,2440275.0,0,0001
1997-10-01,2433267.2,0,0001
1997-11-01,2434363.8,0,0001
1997-12-01,2435442.2,0,0001
1998-01-01,2442697.8,0,0001
1998-02-01,2438954.5,0,0001
1998-03-01,2438135.8,0,0001
1998-04-01,2442373.0,0,0001
1998-05-01,2448690.0,0,0001
1998-06-01,2457340.2,0,0001
1998-07-01,2457017.5,0,0001
1998-08-01,2452057.8,0,0001
1998-09-01,2444260.0,0,0001
1998-10-01,2434001.8,0,0001
1998-11-01,2431921.2,0,0001
1998-12-01,2433671.8,0,0001
1999-01-01,2436355.0,0,0001
1999-02-01,2436522.0,0,0001
1999-03-01,2439806.8,0,0001
1999-04-01,2437523.8,0,0001
1999-05-01,2444210.2,0,0001
1999-06-01,2450632.8,0,0001
1999-07-01,2453629.5,0,0001
1999-08-01,2449158.5,0,0001
1999-09-01,2441426.8,0,0001
1999-10-01,2429492.5,0,0001
1999-11-01,2427195.2,0,0001
1999-12-01,2428171.5,0,0001
