valid_time,avg_tnlwrf,number,expver
1980-04-01 06:00:00,-224.92842,0,0001
1980-05-01 06:00:00,-227.7511,0,0001
1980-06-01 06:00:00,-230.29398,0,0001
1980-07-01 06:00:00,-231.40636,0,0001
1980-08-01 06:00:00,-229.85635,0,0001
1980-09-01 06:00:00,-227.75966,0,0001
1980-10-01 06:00:00,-225.30438,0,0001
1980-11-01 06:00:00,-224.5348,0,0001
1980-12-01 06:00:00,-224.56783,0,0001
1981-01-01 06:00:00,-225.44246,0,0001
1981-02-01 06:00:00,-225.04373,0,0001
1981-03-01 06:00:00,-224.50684,0,0001
1981-04-01 06:00:00,-224.55574,0,0001
1981-05-01 06:00:00,-227.10576,0,0001
1981-06-01 06:00:00,-229.95998,0,0001
1981-07-01 06:00:00,-231.17891,0,0001
1981-08-01 06:00:00,-230.43494,0,0001
1981-09-01 06:00:00,-227.54152,0,0001
1981-10-01 06:00:00,-225.12381,0,0001
1981-11-01 06:00:00,-224.47038,0,0001
1981-12-01 06:00:00,-225.48334,0,0001
1982-01-01 06:00:00,-224.96805,0,0001
1982-02-01 06:00:00,-223.91182,0,0001
1982-03-01 06:00:00,-222.31252,0,0001
1982-04-01 06:00:00,-223.315,0,0001
1982-05-01 06:00:00,-226.37859,0,0001
1982-06-01 06:00:00,-229.14262,0,0001
1982-07-01 06:00:00,-230.7513,0,0001
1982-08-01 06:00:00,-229.06297,0,0001
1982-09-01 06:00:00,-226.53429,0,0001
1982-10-01 06:00:00,-224.32005,0,0001
1982-11-01 06:00:00,-223.84146,0,0001
1982-12-01 06:00:00,-224.81866,0,0001
1983-01-01 06:00:00,-224.79727,0,0001
1983-02-01 06:00:00,-223.90121,0,0001
1983-03-01 06:00:00,-224.07565,0,0001
1983-04-01 06:00:00,-224.4552,0,0001
1983-05-01 06:00:00,-226.86539,0,0001
1983-06-01 06:00:00,-228.59122,0,0001
1983-07-01 06:00:00,-229.65504,0,0001
1983-08-01 06:00:00,-229.26453,0,0001
1983-09-01 06:00:00,-227.11835,0,0001
1983-10-01 06:00:00,-224.10553,0,0001
1983-11-01 06:00:00,-223.92805,0,0001
1983-12-01 06:00:00,-224.45506,0,0001
1984-01-01 06:00:00,-224.57803,0,0001
1984-02-01 06:00:00,-223.74124,0,0001
1984-03-01 06:00:00,-223.98724,0,0001
1984-04-01 06:00:00,-224.31834,0,0001
1984-05-01 06:00:00,-227.13405,0,0001
1984-06-01 06:00:00,-229.37064,0,0001
1984-07-01 06:00:00,-230.43211,0,0001
1984-08-01 06:00:00,-229.54654,0,0001
1984-09-01 06:00:00,-226.72331,0,0001
1984-10-01 06:00:00,-224.80086,0,0001
1984-11-01 06:00:00,-224.34827,0,0001
1984-12-01 06:00:00,-225.08305,0,0001
1985-01-01 06:00:00,-225.94193,0,0001
1985-02-01 06:00:00,-223.18361,0,0001
1985-03-01 06:00:00,-222.69229,0,0001
1985-04-01 06:00:00,-223.95709,0,0001
1985-05-01 06:00:00,-225.9242,0,0001
1985-06-01 06:00:00,-229.71686,0,0001
1985-07-01 06:00:00,-229.60971,0,0001
1985-08-01 06:00:00,-229.34207,0,0001
1985-09-01 06:00:00,-226.49377,0,0001
1985-10-01 06:00:00,-223.79126,0,0001
1985-11-01 06:00:00,-223.19156,0,0001
1985-12-01 06:00:00,-224.29944,0,0001
1986-01-01 06:00:00,-225.04596,0,0001
1986-02-01 06:00:00,-224.4431,0,0001
1986-03-01 06:00:00,-223.34329,0,0001
1986-04-01 06:00:00,-224.31851,0,0001
1986-05-01 06:00:00,-226.64601,0,0001
1986-06-01 06:00:00,-229.09581,0,0001
1986-07-01 06:00:00,-229.90561,0,0001
1986-08-01 06:00:00,-228.96124,0,0001
1986-09-01 06:00:00,-226.16751,0,0001
1986-10-01 06:00:00,-224.11613,0,0001
1986-11-01 06:00:00,-224.03252,0,0001
1986-12-01 06:00:00,-224.83861,0,0001
1987-01-01 06:00:00,-225.88823,0,0001
1987-02-01 06:00:00,-224.29523,0,0001
1987-03-01 06:00:00,-222.33618,0,0001
1987-04-01 06:00:00,-224.13805,0,0001
1987-05-01 06:00:00,-225.93459,0,0001
1987-06-01 06:00:00,-229.62155,0,0001
1987-07-01 06:00:00,-230.98811,0,0001
1987-08-01 06:00:00,-228.916,0,0001
1987-09-01 06:00:00,-226.19919,0,0001
1987-10-01 06:00:00,-224.30803,0,0001
1987-11-01 06:00:00,-223.32957,0,0001
1987-12-01 06:00:00,-225.686,0,0001
1988-01-01 06:00:00,-224.30853,0,0001
1988-02-01 06:00:00,-223.6784,0,0001
1988-03-01 06:00:00,-223.75722,0,0001
